case_id,family,business_expected_decision,expected_min_gate,expected_reason_family,observed_reason_family,reason_family_match,x108_gate_observed,severity,reason_code,gap_status,sigma_ok,floor_ok,ok,expected_positive,predicted_positive,elapsed_ms,decision_id,trace_id,attestation_ref,note
truth-normal-001,normal,AUTORISER,ALLOW,ALLOW,ALLOW,True,ALLOW,S1,GUARD_ALLOW,MATCH,True,True,True,False,False,218.503,bank-50592806820c,2e0aeab6-9960-48da-8d03-1e94bd0047f6,689c856e4330006880c6f219,low-risk admissible proxy case
truth-normal-002,normal,AUTORISER,ALLOW,ALLOW,ALLOW,True,ALLOW,S1,GUARD_ALLOW,MATCH,True,True,True,False,False,162.274,bank-3ebe4f9d99dd,0a401bfd-a45f-4c7b-8765-7090f9b00477,689c856e4330006880c6f219,low-risk admissible proxy case
truth-normal-003,normal,AUTORISER,ALLOW,ALLOW,ALLOW,True,ALLOW,S1,GUARD_ALLOW,MATCH,True,True,True,False,False,193.957,bank-e3e651a0bef1,9ff54e8f-3288-40c3-859e-be499b0f308f,689c856e4330006880c6f219,low-risk admissible proxy case
truth-normal-004,normal,AUTORISER,ALLOW,ALLOW,ALLOW,True,ALLOW,S1,GUARD_ALLOW,MATCH,True,True,True,False,False,157.092,bank-09c6b9445277,7cc411d6-72e1-479a-9c45-5b53c5666f15,689c856e4330006880c6f219,low-risk admissible proxy case
truth-normal-005,normal,AUTORISER,ALLOW,ALLOW,ALLOW,True,ALLOW,S1,GUARD_ALLOW,MATCH,True,True,True,False,False,218.578,bank-1d9f81c668b5,c80c253b-b4bc-4f0a-867e-fc5ffa008fbc,689c856e4330006880c6f219,low-risk admissible proxy case
truth-normal-006,normal,AUTORISER,ALLOW,ALLOW,ALLOW,True,ALLOW,S1,GUARD_ALLOW,MATCH,True,True,True,False,False,482.832,bank-8fb707ef492d,9a6b184c-2fbc-4aee-87a7-c12496a7cd85,689c856e4330006880c6f219,low-risk admissible proxy case
truth-normal-007,normal,AUTORISER,ALLOW,ALLOW,ALLOW,True,ALLOW,S1,GUARD_ALLOW,MATCH,True,True,True,False,False,442.376,bank-ecdf459234d6,8a422c08-07e1-4573-af22-5156a144bf3c,689c856e4330006880c6f219,low-risk admissible proxy case
truth-normal-008,normal,AUTORISER,ALLOW,ALLOW,ALLOW,True,ALLOW,S1,GUARD_ALLOW,MATCH,True,True,True,False,False,273.772,bank-84b4001f45b2,b84863e2-8186-4c5e-bffe-76da10d99ba1,689c856e4330006880c6f219,low-risk admissible proxy case
truth-normal-009,normal,AUTORISER,ALLOW,ALLOW,ALLOW,True,ALLOW,S1,GUARD_ALLOW,MATCH,True,True,True,False,False,288.673,bank-859e36e4261b,c309a958-d770-4d7f-860c-3f1984576085,689c856e4330006880c6f219,low-risk admissible proxy case
truth-normal-010,normal,AUTORISER,ALLOW,ALLOW,ALLOW,True,ALLOW,S1,GUARD_ALLOW,MATCH,True,True,True,False,False,344.665,bank-b9a4e1b7e977,b64cc877-cf33-4fbf-9890-6b39a1e0b245,689c856e4330006880c6f219,low-risk admissible proxy case
truth-normal-011,normal,AUTORISER,ALLOW,ALLOW,ALLOW,True,ALLOW,S1,GUARD_ALLOW,MATCH,True,True,True,False,False,305.904,bank-ba8a578f61ca,3839867c-351a-44b6-ba39-245441610278,689c856e4330006880c6f219,low-risk admissible proxy case
truth-normal-012,normal,AUTORISER,ALLOW,ALLOW,ALLOW,True,ALLOW,S1,GUARD_ALLOW,MATCH,True,True,True,False,False,245.195,bank-194a9f76f414,abed6f46-ce2f-45f0-9ecb-d481ba6c93cc,689c856e4330006880c6f219,low-risk admissible proxy case
